collection_id,patientID,StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID,gcs_url,md5_hash
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.35.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1089.dcm,d84412632bfc7c3b5e163cfbde8d494d
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.33.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1094.dcm,e853a1a2cd0ecc9844ab788fa8cd0daf
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.31.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1099.dcm,039d0c1fd9b13d4cebf08931f932ad5c
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.29.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1104.dcm,00fe7258bdfc4db8095258bc81340e87
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.27.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1109.dcm,c5b707abbb78fb4954a8b4207a7c048e
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.25.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1114.dcm,e4692fb664ee4b6ce4f4e4296e1e670b
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.23.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1119.dcm,a9e16a355ab5b85a2eb98c7ff393e29d
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.21.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1124.dcm,dca12922612e3f5ccc2d3965b9dd1fe6
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.19.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1129.dcm,d94b19f90c87c42e66588c783898b341
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.17.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1134.dcm,fa5146f25895a5b68d33357283c28a41
